"","sp","circ","l.width","l.thick","animal.disp"
"Acer_rubrum","Acer_rubrum",0.245,2.27726728500976,-2.04022082852655,0
"Anemone_quinquefolia","Anemone_quinquefolia",0.305,1.64480505627139,-1.51412773262978,1
"Apocynum_androsaemifolium","Apocynum_androsaemifolium",0.648,1.17865499634165,-1.96611285637283,0
"Aralia_nudicaulis","Aralia_nudicaulis",0.365,3.34321509912381,-2.04022082852655,1
"Aronia_melanocarpa","Aronia_melanocarpa",0.5827083333,0.997102374622867,-1.53035720595075,1
"Aster_macrophyllus","Aster_macrophyllus",0.393,2.40061883326541,-1.34707364796661,0
"Betula_papyrifera","Betula_papyrifera",0.433,1.65632149833295,-1.77195684193188,0
"Carex_spp","Carex_spp",0.0572834782,-0.23572233352107,-1.58553603678404,0
"Comptonia_peregrina","Comptonia_peregrina",0.18,0.218331994316988,-1.61394806791199,0
"Coptis_trifolia","Coptis_trifolia",0.624,1.27815220250019,-1.56064774826467,1
"Cornus_canadensis","Cornus_canadensis",0.73,1.10525683138678,-1.6094379124341,1
"Corylus_americana","Corylus_americana",0.43,2.01490302054226,-1.77195684193188,1
"Cypripedium_acaule","Cypripedium_acaule",0.4344583333,1.74338588494967,-1.22502621352377,0
"Diervilla_lonicera","Diervilla_lonicera",0.571,1.27815220250019,-1.96611285637283,0
"Epigaea_repens","Epigaea_repens",0.70871875,1.13710900117437,-1.12641456994026,1
"Euthamia_graminifolia","Euthamia_graminifolia",0.14225,-1.14944516274957,-1.34787525108764,0
"Fragaria_virginiana","Fragaria_virginiana",0.453,2.33020026002702,-1.46967597005894,1
"Galium_triflorum","Galium_triflorum",0.486,-0.0304592074847086,-1.96611285637283,1
"Gaultheria_procumbens","Gaultheria_procumbens",0.771,0.703097511413113,-1.20397280432594,1
"Gaylussacia_baccata","Gaylussacia_baccata",0.712875,0.541597282432744,-1.71017948241996,1
"Hieracium_aurantiacum","Hieracium_aurantiacum",0.381,0.751416088683921,-1.51412773262978,0
"Ilex_verticillata","Ilex_verticillata",0.506,1.26694760348732,-1.96611285637283,1
"Krigia_biflora","Krigia_biflora",0.281,0.8356228288067,-1.44816976483798,0
"Lycopodium_clavatum","Lycopodium_clavatum",0.2783458333,-2.47495631853879,-1.63689475883845,0
"Lysimachia_quadrifolia","Lysimachia_quadrifolia",0.5235555555,0.648411286718554,-2.16282315061889,0
"Maianthemum_canadense","Maianthemum_canadense",0.703,1.28647402583768,-1.6094379124341,1
"Maianthemum_racemosum","Maianthemum_racemosum",0.574,1.43270073393405,-1.46967597005894,1
"Melampyrum_lineare","Melampyrum_lineare",0.327375,-0.582332814219655,-1.86642913756508,1
"Mitchella_repens","Mitchella_repens",0.855,0.350656871613169,-1.56064774826467,1
"Osmunda_cinnamomea","Osmunda_cinnamomea",0.0897291667,0.957912406564975,-1.2217691124072,0
"Osmunda_claytoniana","Osmunda_claytoniana",0.163,3.19867311755068,-1.96611285637283,0
"Phalaris_arundinacea","Phalaris_arundinacea",0.184,0.231111720963387,-1.89711998488588,0
"Pinus_banksiana","Pinus_banksiana",0.0550553333,-2.08613052956218,-0.544009042498801,0
"Pinus_resinosa","Pinus_resinosa",0.025,-2.12026353620009,-0.510825623765991,0
"Pinus_strobus","Pinus_strobus",0.028,-2.30258509299405,-0.693147180559945,0
"Poa_spp","Poa_spp",0.0513333333,-0.660357357672438,-1.9425823591952,0
"Populus_grandidentata","Populus_grandidentata",0.6103333333,1.70852881507229,-1.90129535629636,0
"Populus_tremuloides","Populus_tremuloides",0.666,1.47017584510059,-1.83258146374831,0
"Potentilla_simplex","Potentilla_simplex",0.32,1.81645208181843,-1.56064774826467,0
"Prunus_serotina","Prunus_serotina",0.553,1.37624402526639,-1.77195684193188,1
"Prunus_virginiana","Prunus_virginiana",0.565,1.51512723296286,-1.96611285637283,1
"Pyrola_rotundifolia","Pyrola_rotundifolia",0.7320416667,1.42511435296146,-1.657862518603,0
"Quercus_alba","Quercus_alba",0.355,2.11625551480255,-1.83258146374831,1
"Quercus_ellipsoidalis","Quercus_ellipsoidalis",0.1197272727,2.08989804503727,-1.58592115723461,1
"Rhamnus_frangula","Rhamnus_frangula",0.7837083333,1.43805629567848,-1.86801975573407,1
"Rosa_spp","Rosa_spp",0.481,1.71918877639322,-2.12026353620009,1
"Rubus_spp","Rubus_spp",0.3878,2.51818022655093,-1.8578992717326,1
"Smilax_tamnoides","Smilax_tamnoides",0.69,1.74919985480926,-2.04022082852655,1
"Spiraea_alba","Spiraea_alba",0.353,0.375864638331874,-1.79426259944617,0
"Toxicodendron_rydbergii","Toxicodendron_rydbergii",0.1954166667,2.76083513606627,-1.72448285222364,1
"Trientalis_borealis","Trientalis_borealis",0.419,2.09433015417359,-1.83258146374831,0
"Uvularia_sessilifolia","Uvularia_sessilifolia",0.627,0.708035793053696,-1.96611285637283,1
"Vaccinium_angustifolium","Vaccinium_angustifolium",0.662,0.336472236621213,-1.83258146374831,1
"Viburnum_acerifolium","Viburnum_acerifolium",0.452,2.04251818757524,-1.77195684193188,1
"Viola_spp","Viola_spp",0.4610166667,1.55982741188077,-1.44958921135016,1
